,Name,Score,Location,Category,Rating,Price,Review_count,business_id
41,philippe the original,97.0,"1001 N Alameda St,Los Angeles, CA 90012",sandwiches,4.0,1.0,6576,AxPJlSxkCJVJk3sSTL_8OA
42,rossoblu,91.0,"1124 San Julian St,Los Angeles, CA 90015",italian,4.0,3.0,707,YYKK5pDAWQimcHzOz-7nug
43,izakaya gazen,92.0,"362 E 1st St,Los Angeles, CA 90012",sushi,4.0,2.0,390,ywH0noW7QvSK5pE7W4QgJg
44,chinchikurin - little tokyo,95.0,"350 E 1st St,Los Angeles, CA 90012",japanese,4.0,2.0,750,WnEQZDZ86ozJjnAkw8tYRQ
45,464,96.0,"464 S Main St,Los Angeles, CA 90013",burgers,4.5,2.0,411,5hEf8nOB2O9w-Uvo52CzhQ
46,loqui,96.0,"803 Traction Ave,Ste 150,Los Angeles, CA 90013",tacos,4.5,2.0,123,eS1vk1koUiJPPiab-x2jaQ
47,afuri,93.0,"688 Mateo St,Los Angeles, CA 90021",ramen,4.0,2.0,269,CWM5nseG5en-lCW5ac-Vfw
48,pasta e pasta by allegro,90.0,"432 E 2nd St,Los Angeles, CA 90012",italian,4.5,2.0,998,lRScnMRd-FBlT5QQyrUEUQ
49,kouraku japanese ramen,97.0,"314 E 2nd St,Los Angeles, CA 90012",ramen,4.0,2.0,1060,YoyF3zjhYs5loTX9xtYgtA
50,ootoro little tokyo,97.0,"232 E 2nd St,Ste E,Los Angeles, CA 90012",japanese,4.5,,118,451LU9SaBEoxtLJ8NZdXIA
51,hakata ikkousha ramen,96.0,"368 E 2nd St,Los Angeles, CA 90012",ramen,4.0,2.0,683,wj6x4qDuTwjZGH7jdPLr5A
52,library bar,97.0,"630 W 6th St,Ste 116-A,Los Angeles, CA 90017",newamerican,4.0,2.0,1794,wtp1izuuno7wsPBhPRcGqw
53,oomasa restaurant,95.0,"100 Japanese Village Plaza Mall,Los Angeles, CA 90012",japanese,4.0,2.0,1371,rKz7-H9utg_qnk8Hq9XeCA
54,shibumi,97.0,"815 South Hill St,Los Angeles, CA 90014",japanese,3.5,4.0,372,rSxvppSRQYjNXpP6qknJ7g
